entity,view,level,dimension,score_0_5,weight,weighted_score,evidence_coverage_pct,evidence_ids,confidence,rationale_ru
sanskritorium.ru,balanced,institution,curriculum_pedagogy,3,12,7.2,50,E040;E068,medium,Школьные обещания ясны; детальный syllabus карточек не извлечён.
sanskritorium.ru,balanced,institution,teachers_authority,3,8,4.8,55,E039,medium,"Ростер с фото есть, но не на лендинге; регалии не сняты."
sanskritorium.ru,balanced,institution,pricing_value_transparency,2,10,4.0,55,E035;E036;E037;E038,medium,Лендинг без цены. Карточки в индексе 900–4500. Не 0: цена не отсутствует полностью.
sanskritorium.ru,balanced,institution,learner_journey_funnel,3,12,7.2,75,E047;E045;E074,high,"Ясный старт, но форма внешняя и даты просрочены."
sanskritorium.ru,balanced,institution,ux_mobile_accessibility,2,10,4.0,40,E041;E068,low,Конвертер=вход; JS-тело плохо извлекается. Не доказанный провал для человека.
sanskritorium.ru,balanced,institution,seo_content,3,10,6.0,50,E041;E066;E077,medium,Статьи/конвертер/YouTube; глубина не аудирована.
sanskritorium.ru,balanced,institution,community_support_outcomes,3,8,4.8,60,E042;E077,medium,Клубы и каналы есть; независимых отзывов нет.
sanskritorium.ru,balanced,institution,legal_trust,2,5,2.0,35,E043;E044;E046,low,"Документы существуют, но тело и реквизиты не видны. Не 0."
sanskritorium.ru,balanced,institution,technology_operations,2,7,2.8,60,E045;E050;E047,medium,Просроченные CTA и копирайт 2025; WP+Яндекс.Формы.
sanskritorium.ru,balanced,institution,TOTAL,,100.0,57.2,60.35,,,normalized_total=57.2; included_weight=100.0; coverage=60.35%. Не лига.
sanskritorium.ru,commercial,institution,positioning_audience,4,10,8.0,90,E033,high,Траектория и слоган мгновенно читаются.
sanskritorium.ru,commercial,institution,product_portfolio,4,12,9.6,85,E034;E073,high,Путь + тексты + клубы + бесплатный слой + пали/тибетский.
sanskritorium.ru,commercial,institution,curriculum_pedagogy,3,4,2.4,50,E040;E068,medium,Школьные обещания ясны; детальный syllabus карточек не извлечён.
sanskritorium.ru,commercial,institution,teachers_authority,3,4,2.4,55,E039,medium,"Ростер с фото есть, но не на лендинге; регалии не сняты."
sanskritorium.ru,commercial,institution,pricing_value_transparency,2,15,6.0,55,E035;E036;E037;E038,medium,Лендинг без цены. Карточки в индексе 900–4500. Не 0: цена не отсутствует полностью.
sanskritorium.ru,commercial,institution,learner_journey_funnel,3,20,12.0,75,E047;E045;E074,high,"Ясный старт, но форма внешняя и даты просрочены."
sanskritorium.ru,commercial,institution,ux_mobile_accessibility,2,12,4.8,40,E041;E068,low,Конвертер=вход; JS-тело плохо извлекается. Не доказанный провал для человека.
sanskritorium.ru,commercial,institution,seo_content,3,10,6.0,50,E041;E066;E077,medium,Статьи/конвертер/YouTube; глубина не аудирована.
sanskritorium.ru,commercial,institution,community_support_outcomes,3,5,3.0,60,E042;E077,medium,Клубы и каналы есть; независимых отзывов нет.
sanskritorium.ru,commercial,institution,legal_trust,2,3,1.2,35,E043;E044;E046,low,"Документы существуют, но тело и реквизиты не видны. Не 0."
sanskritorium.ru,commercial,institution,technology_operations,2,5,2.0,60,E045;E050;E047,medium,Просроченные CTA и копирайт 2025; WP+Яндекс.Формы.
sanskritorium.ru,commercial,institution,TOTAL,,100.0,57.4,63.5,,,normalized_total=57.4; included_weight=100.0; coverage=63.5%. Не лига.
samskrte.ru,journey_overlay,learner_journey,beginner,4,,,85,E031;E072;E014,medium,"С нуля: квиз, консультация, бесплатные беседы, видимая цена. Не входит в 100-балльные итоги."
samskrte.ru,journey_overlay,learner_journey,progressing,4,,,80,E023;E022;E025,medium,Много живых потоков и блоков; next-step на карточке местами есть. Не входит в 100-балльные итоги.
samskrte.ru,journey_overlay,learner_journey,advanced_text,3,,,70,E023;E071,medium,"Тексты/синтаксис/Нале есть, но вход для «уже читаю» менее выделен, чем грамматика. Не входит в 100-балльные итоги."
sanskritorium.ru,journey_overlay,learner_journey,beginner,3,,,70,E033;E074;E036,medium,"Очень ясный Начать, но просроченная дата и цена не на первом экране. Не входит в 100-балльные итоги."
sanskritorium.ru,journey_overlay,learner_journey,progressing,3,,,60,E034;E040,medium,Основы + буддийский санскрит; цена/расписание на поверхности слабее. Не входит в 100-балльные итоги.
sanskritorium.ru,journey_overlay,learner_journey,advanced_text,4,,,75,E034;E037;E038,medium,"Богатый текстовый ряд (Гита, Нале, тантра, сутры) как витрина. Не входит в 100-балльные итоги."
